ID	group	shannon
L10	-7	4.073840091
L1	-7	3.557333678
L2	-7	3.295235464
L3	-7	4.14237438
L4	-7	4.108594269
L5	-7	4.270276512
L7	-7	2.978198305
L8	-7	4.141950564
L9	-7	2.100212373
Q10	-7	3.519386832
Q11	-7	3.573462162
Q12	-7	3.683509162
Q13	-7	3.773653449
Q3	-7	4.495124328
Q4	-7	3.109940219
Q5	-7	3.465403171
Q6	-7	4.055026538
Q7	-7	3.168219541
Q8	-7	3.699873665
Q9	-7	3.988585155
L10	0d	3.705857652
L1	0d	4.072725673
L2	0d	3.215399494
L3	0d	3.855747467
L4	0d	3.7330711
L5	0d	4.097525338
L7	0d	2.540931878
L8	0d	4.105471925
L9	0d	3.279107817
Q10	0d	3.299259761
Q11	0d	3.658133733
Q12	0d	3.665474677
Q13	0d	3.644034759
Q3	0d	4.121212808
Q4	0d	2.967454626
Q5	0d	3.813357143
Q6	0d	4.274838353
Q7	0d	3.142234628
Q8	0d	3.018087693
Q9	0d	4.002055677
L10	7d	3.484764406
L1	7d	4.025321863
L2	7d	3.293940131
L3	7d	3.987128518
L4	7d	3.934854823
L5	7d	4.492789306
L7	7d	3.257812991
L8	7d	3.648419346
L9	7d	3.65018142
Q10	7d	3.685077849
Q11	7d	3.362956381
Q12	7d	4.174520146
Q13	7d	3.904107154
Q3	7d	4.380614589
Q4	7d	3.082099245
Q5	7d	3.801424669
Q6	7d	4.415184291
Q7	7d	3.572886336
Q8	7d	3.554636225
Q9	7d	3.671971141
L10	14d	4.068679862
L1	14d	4.053481508
L2	14d	3.422626886
L3	14d	3.977822941
L4	14d	3.24318315
L5	14d	3.308282734
L7	14d	3.450911096
L8	14d	3.66885248
L9	14d	3.808175304
Q10	14d	3.444100602
Q11	14d	3.624049224
Q12	14d	4.264646604
Q13	14d	3.793902871
Q3	14d	4.508593186
Q4	14d	3.379979455
Q5	14d	3.696223342
Q6	14d	3.844649656
Q7	14d	3.630269663
Q8	14d	3.176443023
Q9	14d	3.943900039
L10	21d	3.763261181
L1	21d	4.125375351
L2	21d	3.392263833
L3	21d	3.673641189
L4	21d	3.705091625
L5	21d	4.625055995
L7	21d	3.179411337
L8	21d	4.434118953
L9	21d	3.753952856
Q10	21d	2.95857752
Q11	21d	3.09214694
Q12	21d	4.216516021
Q13	21d	3.787144376
Q3	21d	4.145195615
Q4	21d	2.837302094
Q5	21d	4.022420014
Q6	21d	2.760908079
Q7	21d	3.453472388
Q8	21d	3.653843527
Q9	21d	3.341550942
L10	28d	4.374640982
L1	28d	4.13364775
L2	28d	3.432590675
L3	28d	3.807863819
L4	28d	3.810535497
L5	28d	4.324703371
L7	28d	3.366083828
L8	28d	4.142466365
L9	28d	3.67531924
Q10	28d	3.349527294
Q11	28d	3.786705111
Q12	28d	3.323321939
Q13	28d	3.578928725
Q3	28d	4.62769383
Q4	28d	2.950833525
Q5	28d	3.753469136
Q6	28d	4.148329577
Q7	28d	3.324669034
Q8	28d	3.660118145
Q9	28d	3.560993165
