ID	group	simpson
L10	-7	0.960254318
L1	-7	0.907297681
L2	-7	0.921073091
L3	-7	0.971025216
L4	-7	0.959834142
L5	-7	0.972271011
L7	-7	0.8933292
L8	-7	0.962004254
L9	-7	0.829091307
Q10	-7	0.943010246
Q11	-7	0.948107644
Q12	-7	0.9288602
Q13	-7	0.957306985
Q3	-7	0.982393303
Q4	-7	0.91852503
Q5	-7	0.925785795
Q6	-7	0.945767728
Q7	-7	0.9019097
Q8	-7	0.957844882
Q9	-7	0.963709767
L10	0d	0.91557327
L1	0d	0.967211966
L2	0d	0.904360059
L3	0d	0.958960791
L4	0d	0.932111431
L5	0d	0.966491631
L7	0d	0.731351824
L8	0d	0.948484217
L9	0d	0.937935769
Q10	0d	0.915542645
Q11	0d	0.957785488
Q12	0d	0.903761339
Q13	0d	0.94332264
Q3	0d	0.966763159
Q4	0d	0.904436572
Q5	0d	0.955132395
Q6	0d	0.970266226
Q7	0d	0.902818553
Q8	0d	0.888083521
Q9	0d	0.967319579
L10	7d	0.902259131
L1	7d	0.965952149
L2	7d	0.920455839
L3	7d	0.963107184
L4	7d	0.951841012
L5	7d	0.980669441
L7	7d	0.931401981
L8	7d	0.9158742
L9	7d	0.952572486
Q10	7d	0.949225348
Q11	7d	0.92915499
Q12	7d	0.973228129
Q13	7d	0.969838244
Q3	7d	0.978714007
Q4	7d	0.919453951
Q5	7d	0.958405131
Q6	7d	0.972915998
Q7	7d	0.943129848
Q8	7d	0.946307976
Q9	7d	0.956119025
L10	14d	0.965898018
L1	14d	0.967419254
L2	14d	0.929656243
L3	14d	0.965360372
L4	14d	0.928467903
L5	14d	0.855774265
L7	14d	0.925727849
L8	14d	0.919494051
L9	14d	0.958474545
Q10	14d	0.921273993
Q11	14d	0.948468081
Q12	14d	0.974803695
Q13	14d	0.958509452
Q3	14d	0.981378834
Q4	14d	0.933449234
Q5	14d	0.946438011
Q6	14d	0.929910165
Q7	14d	0.953850116
Q8	14d	0.924304645
Q9	14d	0.964434446
L10	21d	0.928765718
L1	21d	0.967348552
L2	21d	0.899820878
L3	21d	0.949021165
L4	21d	0.940605224
L5	21d	0.982901649
L7	21d	0.922971488
L8	21d	0.972340869
L9	21d	0.96109185
Q10	21d	0.86469094
Q11	21d	0.908015373
Q12	21d	0.967594753
Q13	21d	0.966492077
Q3	21d	0.963516699
Q4	21d	0.880089242
Q5	21d	0.969495934
Q6	21d	0.71153866
Q7	21d	0.944400346
Q8	21d	0.955648117
Q9	21d	0.949544708
L10	28d	0.977426017
L1	28d	0.967685542
L2	28d	0.929960495
L3	28d	0.942670015
L4	28d	0.95230374
L5	28d	0.972597052
L7	28d	0.935609991
L8	28d	0.960065191
L9	28d	0.956146178
Q10	28d	0.909859779
Q11	28d	0.962049948
Q12	28d	0.839408865
Q13	28d	0.94746596
Q3	28d	0.982641169
Q4	28d	0.909374592
Q5	28d	0.956885656
Q6	28d	0.956301464
Q7	28d	0.938507974
Q8	28d	0.953399805
Q9	28d	0.949019759
