sample	group
Sample_AL10	-7
Sample_AL1	-7
Sample_AL2	-7
Sample_AL3	-7
Sample_AL4	-7
Sample_AL5	-7
Sample_AL7	-7
Sample_AL8	-7
Sample_AL9	-7
Sample_AQ10	-7
Sample_AQ11	-7
Sample_AQ12	-7
Sample_AQ13	-7
Sample_AQ3	-7
Sample_AQ4	-7
Sample_AQ5	-7
Sample_AQ6	-7
Sample_AQ7	-7
Sample_AQ8	-7
Sample_AQ9	-7
Sample_BL10	0d
Sample_BL1	0d
Sample_BL2	0d
Sample_BL3	0d
Sample_BL4	0d
Sample_BL5	0d
Sample_BL7	0d
Sample_BL8	0d
Sample_BL9	0d
Sample_BQ10	0d
Sample_BQ11	0d
Sample_BQ12	0d
Sample_BQ13	0d
Sample_BQ3	0d
Sample_BQ4	0d
Sample_BQ5	0d
Sample_BQ6	0d
Sample_BQ7	0d
Sample_BQ8	0d
Sample_BQ9	0d
Sample_CL10	7d
Sample_CL1	7d
Sample_CL2	7d
Sample_CL3	7d
Sample_CL4	7d
Sample_CL5	7d
Sample_CL7	7d
Sample_CL8	7d
Sample_CL9	7d
Sample_CQ10	7d
Sample_CQ11	7d
Sample_CQ12	7d
Sample_CQ13	7d
Sample_CQ3	7d
Sample_CQ4	7d
Sample_CQ5	7d
Sample_CQ6	7d
Sample_CQ7	7d
Sample_CQ8	7d
Sample_CQ9	7d
Sample_DL10	14d
Sample_DL1	14d
Sample_DL2	14d
Sample_DL3	14d
Sample_DL4	14d
Sample_DL5	14d
Sample_DL7	14d
Sample_DL8	14d
Sample_DL9	14d
Sample_DQ10	14d
Sample_DQ11	14d
Sample_DQ12	14d
Sample_DQ13	14d
Sample_DQ3	14d
Sample_DQ4	14d
Sample_DQ5	14d
Sample_DQ6	14d
Sample_DQ7	14d
Sample_DQ8	14d
Sample_DQ9	14d
Sample_EL10	21d
Sample_EL1	21d
Sample_EL2	21d
Sample_EL3	21d
Sample_EL4	21d
Sample_EL5	21d
Sample_EL7	21d
Sample_EL8	21d
Sample_EL9	21d
Sample_EQ10	21d
Sample_EQ11	21d
Sample_EQ12	21d
Sample_EQ13	21d
Sample_EQ3	21d
Sample_EQ4	21d
Sample_EQ5	21d
Sample_EQ6	21d
Sample_EQ7	21d
Sample_EQ8	21d
Sample_EQ9	21d
Sample_FL10	28d
Sample_FL1	28d
Sample_FL2	28d
Sample_FL3	28d
Sample_FL4	28d
Sample_FL5	28d
Sample_FL7	28d
Sample_FL8	28d
Sample_FL9	28d
Sample_FQ10	28d
Sample_FQ11	28d
Sample_FQ12	28d
Sample_FQ13	28d
Sample_FQ3	28d
Sample_FQ4	28d
Sample_FQ5	28d
Sample_FQ6	28d
Sample_FQ7	28d
Sample_FQ8	28d
Sample_FQ9	28d
