Sample	group	Number
Sample_AL1	-7	314
Sample_AL10	-7	334
Sample_AL2	-7	209
Sample_AL3	-7	318
Sample_AL4	-7	332
Sample_AL5	-7	344
Sample_AL7	-7	191
Sample_AL8	-7	319
Sample_AL9	-7	97
Sample_AQ10	-7	263
Sample_AQ11	-7	232
Sample_AQ12	-7	301
Sample_AQ13	-7	291
Sample_AQ3	-7	323
Sample_AQ4	-7	230
Sample_AQ5	-7	259
Sample_AQ6	-7	339
Sample_AQ7	-7	221
Sample_AQ8	-7	247
Sample_AQ9	-7	293
Sample_BL1	0d	308
Sample_BL10	0d	298
Sample_BL2	0d	243
Sample_BL3	0d	316
Sample_BL4	0d	306
Sample_BL5	0d	332
Sample_BL7	0d	199
Sample_BL8	0d	326
Sample_BL9	0d	213
Sample_BQ10	0d	224
Sample_BQ11	0d	267
Sample_BQ12	0d	332
Sample_BQ13	0d	270
Sample_BQ3	0d	313
Sample_BQ4	0d	218
Sample_BQ5	0d	284
Sample_BQ6	0d	323
Sample_BQ7	0d	224
Sample_BQ8	0d	241
Sample_BQ9	0d	291
Sample_CL1	7d	294
Sample_CL10	7d	333
Sample_CL2	7d	230
Sample_CL3	7d	348
Sample_CL4	7d	300
Sample_CL5	7d	351
Sample_CL7	7d	194
Sample_CL8	7d	298
Sample_CL9	7d	253
Sample_CQ10	7d	258
Sample_CQ11	7d	264
Sample_CQ12	7d	325
Sample_CQ13	7d	275
Sample_CQ3	7d	350
Sample_CQ4	7d	215
Sample_CQ5	7d	280
Sample_CQ6	7d	336
Sample_CQ7	7d	254
Sample_CQ8	7d	253
Sample_CQ9	7d	290
Sample_DL1	14d	327
Sample_DL10	14d	268
Sample_DL2	14d	209
Sample_DL3	14d	315
Sample_DL4	14d	224
Sample_DL5	14d	304
Sample_DL7	14d	235
Sample_DL8	14d	288
Sample_DL9	14d	259
Sample_DQ10	14d	241
Sample_DQ11	14d	236
Sample_DQ12	14d	324
Sample_DQ13	14d	288
Sample_DQ3	14d	339
Sample_DQ4	14d	212
Sample_DQ5	14d	273
Sample_DQ6	14d	325
Sample_DQ7	14d	215
Sample_DQ8	14d	243
Sample_DQ9	14d	311
Sample_EL1	21d	309
Sample_EL10	21d	294
Sample_EL2	21d	231
Sample_EL3	21d	330
Sample_EL4	21d	287
Sample_EL5	21d	361
Sample_EL7	21d	200
Sample_EL8	21d	340
Sample_EL9	21d	262
Sample_EQ10	21d	196
Sample_EQ11	21d	190
Sample_EQ12	21d	353
Sample_EQ13	21d	278
Sample_EQ3	21d	313
Sample_EQ4	21d	171
Sample_EQ5	21d	311
Sample_EQ6	21d	317
Sample_EQ7	21d	254
Sample_EQ8	21d	266
Sample_EQ9	21d	231
Sample_FL1	28d	300
Sample_FL10	28d	207
Sample_FL2	28d	242
Sample_FL3	28d	317
Sample_FL4	28d	311
Sample_FL5	28d	381
Sample_FL7	28d	228
Sample_FL8	28d	329
Sample_FL9	28d	252
Sample_FQ10	28d	240
Sample_FQ11	28d	267
Sample_FQ12	28d	341
Sample_FQ13	28d	251
Sample_FQ3	28d	371
Sample_FQ4	28d	232
Sample_FQ5	28d	270
Sample_FQ6	28d	340
Sample_FQ7	28d	218
Sample_FQ8	28d	284
Sample_FQ9	28d	281
