sample	group	value
Sample_AL1	-7	18.59232884
Sample_AL10	-7	6.092519039
Sample_AL2	-7	0.658863741
Sample_AL3	-7	1.886955153
Sample_AL4	-7	2.776786457
Sample_AL5	-7	3.012779951
Sample_AL7	-7	2.157617653
Sample_AL8	-7	6.839634733
Sample_AL9	-7	2.6243185
Sample_AQ10	-7	1.334718643
Sample_AQ11	-7	3.770956079
Sample_AQ12	-7	3.016505031
Sample_AQ13	-7	0.810604825
Sample_AQ3	-7	16.57190449
Sample_AQ4	-7	2.667914868
Sample_AQ5	-7	9.821079039
Sample_AQ6	-7	13.60027996
Sample_AQ7	-7	15.51855292
Sample_AQ8	-7	10.71020053
Sample_AQ9	-7	14.9565639
Sample_BL1	0d	20.49641111
Sample_BL10	0d	5.911358641
Sample_BL2	0d	0.851009132
Sample_BL3	0d	1.211118535
Sample_BL4	0d	3.31988746
Sample_BL5	0d	2.98275183
Sample_BL7	0d	8.689500861
Sample_BL8	0d	13.76140021
Sample_BL9	0d	5.861858485
Sample_BQ10	0d	1.538271779
Sample_BQ11	0d	2.302427502
Sample_BQ12	0d	3.335656205
Sample_BQ13	0d	2.376219959
Sample_BQ3	0d	17.84849199
Sample_BQ4	0d	3.131382114
Sample_BQ5	0d	5.229552339
Sample_BQ6	0d	13.67143673
Sample_BQ7	0d	15.55279017
Sample_BQ8	0d	16.36332891
Sample_BQ9	0d	17.37893173
Sample_CL1	7d	21.80403242
Sample_CL10	7d	4.414399446
Sample_CL2	7d	0.703852004
Sample_CL3	7d	0.898775667
Sample_CL4	7d	3.53936498
Sample_CL5	7d	3.394344531
Sample_CL7	7d	11.4495889
Sample_CL8	7d	17.62570855
Sample_CL9	7d	4.213035954
Sample_CQ10	7d	1.573244094
Sample_CQ11	7d	3.491831495
Sample_CQ12	7d	3.169955712
Sample_CQ13	7d	0.975914599
Sample_CQ3	7d	9.351758616
Sample_CQ4	7d	2.634107785
Sample_CQ5	7d	7.474558365
Sample_CQ6	7d	11.44418043
Sample_CQ7	7d	15.66817387
Sample_CQ8	7d	16.06944334
Sample_CQ9	7d	13.55484522
Sample_DL1	14d	20.50448019
Sample_DL10	14d	11.55957348
Sample_DL2	14d	1.096771626
Sample_DL3	14d	0.741583912
Sample_DL4	14d	3.187482451
Sample_DL5	14d	2.470265127
Sample_DL7	14d	17.02474394
Sample_DL8	14d	9.445949849
Sample_DL9	14d	3.979871577
Sample_DQ10	14d	1.623961288
Sample_DQ11	14d	2.840057214
Sample_DQ12	14d	3.696947937
Sample_DQ13	14d	1.864172856
Sample_DQ3	14d	13.29570716
Sample_DQ4	14d	2.619663229
Sample_DQ5	14d	10.31956973
Sample_DQ6	14d	8.617502291
Sample_DQ7	14d	22.5342379
Sample_DQ8	14d	16.43854482
Sample_DQ9	14d	16.26070186
Sample_EL1	21d	20.59270244
Sample_EL10	21d	6.683347609
Sample_EL2	21d	1.022434526
Sample_EL3	21d	1.455356889
Sample_EL4	21d	2.99650017
Sample_EL5	21d	4.774599382
Sample_EL7	21d	9.084404527
Sample_EL8	21d	16.36885102
Sample_EL9	21d	4.314429622
Sample_EQ10	21d	1.954447887
Sample_EQ11	21d	3.106049316
Sample_EQ12	21d	3.811866425
Sample_EQ13	21d	0.938944322
Sample_EQ3	21d	12.7870047
Sample_EQ4	21d	2.626946137
Sample_EQ5	21d	7.915467643
Sample_EQ6	21d	6.691432703
Sample_EQ7	21d	14.4534474
Sample_EQ8	21d	16.92688944
Sample_EQ9	21d	15.15304596
Sample_FL1	28d	23.17867994
Sample_FL10	28d	32.16172353
Sample_FL2	28d	1.270079861
Sample_FL3	28d	1.135086506
Sample_FL4	28d	2.801177618
Sample_FL5	28d	1.936727707
Sample_FL7	28d	15.72723416
Sample_FL8	28d	19.03514109
Sample_FL9	28d	4.180322228
Sample_FQ10	28d	1.454480708
Sample_FQ11	28d	4.583825815
Sample_FQ12	28d	4.012656501
Sample_FQ13	28d	1.120716391
Sample_FQ3	28d	8.198390626
Sample_FQ4	28d	2.672049839
Sample_FQ5	28d	8.227669691
Sample_FQ6	28d	15.28528874
Sample_FQ7	28d	15.61773956
Sample_FQ8	28d	16.48125992
Sample_FQ9	28d	17.9822746
