Genome	group	value
Sample_AL10	-7	1.9300587
Sample_AL1	-7	0.946762
Sample_AL2	-7	1.0502144
Sample_AL3	-7	1.8797641
Sample_AL4	-7	0.7327074
Sample_AL5	-7	0.21426068
Sample_AL7	-7	0.17469992
Sample_AL8	-7	1.1310664
Sample_AL9	-7	5.9978795
Sample_AQ10	-7	6.386776
Sample_AQ11	-7	3.172338
Sample_AQ12	-7	1.6722869
Sample_AQ13	-7	3.546228
Sample_AQ3	-7	1.1761415
Sample_AQ4	-7	8.39072
Sample_AQ5	-7	1.3844185
Sample_AQ6	-7	0.18464784
Sample_AQ7	-7	1.6400768
Sample_AQ8	-7	1.8847592
Sample_AQ9	-7	1.6148558
Sample_BL10	0d	1.0157367
Sample_BL1	0d	0.8926456
Sample_BL2	0d	5.666436
Sample_BL3	0d	2.7851574
Sample_BL4	0d	0.39583203
Sample_BL5	0d	0.14125393
Sample_BL7	0d	0.029306276
Sample_BL8	0d	1.1135612
Sample_BL9	0d	6.3568172
Sample_BQ10	0d	3.109208
Sample_BQ11	0d	4.6769733
Sample_BQ12	0d	2.304883
Sample_BQ13	0d	0.6193378
Sample_BQ3	0d	0.8985438
Sample_BQ4	0d	11.86344
Sample_BQ5	0d	0.9251805
Sample_BQ6	0d	0.4500471
Sample_BQ7	0d	0.20917052
Sample_BQ8	0d	0.73954463
Sample_BQ9	0d	2.1747873
Sample_CL10	7d	0.57842267
Sample_CL1	7d	1.6471941
Sample_CL2	7d	1.2613908
Sample_CL3	7d	1.641231
Sample_CL4	7d	0.6139395
Sample_CL5	7d	0.2399106
Sample_CL7	7d	0.03028748
Sample_CL8	7d	0.5149469
Sample_CL9	7d	2.2583945
Sample_CQ10	7d	0.4418007
Sample_CQ11	7d	1.4806641
Sample_CQ12	7d	2.6519291
Sample_CQ13	7d	4.100422
Sample_CQ3	7d	1.72847
Sample_CQ4	7d	8.976593
Sample_CQ5	7d	0.6643234
Sample_CQ6	7d	0.33385935
Sample_CQ7	7d	4.893262
Sample_CQ8	7d	1.1284251
Sample_CQ9	7d	2.532463
Sample_DL10	14d	0.8054106
Sample_DL1	14d	1.0974151
Sample_DL2	14d	0.513982
Sample_DL3	14d	3.0445826
Sample_DL4	14d	1.2909584
Sample_DL5	14d	0.08971142
Sample_DL7	14d	1.5869237
Sample_DL8	14d	0.6210394
Sample_DL9	14d	1.9292157
Sample_DQ10	14d	1.0338438
Sample_DQ11	14d	1.685964
Sample_DQ12	14d	2.9794393
Sample_DQ13	14d	5.060226
Sample_DQ3	14d	0.9656042
Sample_DQ4	14d	3.1134708
Sample_DQ5	14d	2.0359714
Sample_DQ6	14d	0.11165983
Sample_DQ7	14d	2.9394107
Sample_DQ8	14d	2.061306
Sample_DQ9	14d	0.9867527
Sample_EL10	21d	3.0556703
Sample_EL1	21d	0.9084333
Sample_EL2	21d	0.67004067
Sample_EL3	21d	1.8768111
Sample_EL4	21d	1.6135335
Sample_EL5	21d	2.7179956
Sample_EL7	21d	0
Sample_EL8	21d	0.70873535
Sample_EL9	21d	3.1396742
Sample_EQ10	21d	1.2164409
Sample_EQ11	21d	2.2132022
Sample_EQ12	21d	5.13356
Sample_EQ13	21d	2.1333497
Sample_EQ3	21d	0.7183509
Sample_EQ4	21d	3.031987
Sample_EQ5	21d	1.1661859
Sample_EQ6	21d	0.18325615
Sample_EQ7	21d	2.4695241
Sample_EQ8	21d	1.5051339
Sample_EQ9	21d	0.90879804
Sample_FL10	28d	1.2736595
Sample_FL1	28d	1.5923905
Sample_FL2	28d	1.7766445
Sample_FL3	28d	3.9041893
Sample_FL4	28d	1.6668302
Sample_FL5	28d	2.149694
Sample_FL7	28d	0.047706228
Sample_FL8	28d	2.0677283
Sample_FL9	28d	2.2447758
Sample_FQ10	28d	1.4160917
Sample_FQ11	28d	3.7726176
Sample_FQ12	28d	0.5189663
Sample_FQ13	28d	6.604926
Sample_FQ3	28d	0.73265886
Sample_FQ4	28d	13.361266
Sample_FQ5	28d	0.7650035
Sample_FQ6	28d	0.23495568
Sample_FQ7	28d	2.9125922
Sample_FQ8	28d	2.1057382
Sample_FQ9	28d	2.6814122
