sample	group	value
Sample_AL1	-7	7.618653368
Sample_AL10	-7	7.16592689
Sample_AL2	-7	1.526641773
Sample_AL3	-7	7.720789142
Sample_AL4	-7	10.8692415
Sample_AL5	-7	6.429939261
Sample_AL7	-7	0.58319041
Sample_AL8	-7	7.489089725
Sample_AL9	-7	1.111734621
Sample_AQ10	-7	3.661023406
Sample_AQ11	-7	8.09311409
Sample_AQ12	-7	5.012132863
Sample_AQ13	-7	4.940172204
Sample_AQ3	-7	12.41255118
Sample_AQ4	-7	2.157958553
Sample_AQ5	-7	6.239654599
Sample_AQ6	-7	8.801729224
Sample_AQ7	-7	6.921340959
Sample_AQ8	-7	6.276487516
Sample_AQ9	-7	2.780807896
Sample_BL1	0d	9.281003113
Sample_BL10	0d	8.04663639
Sample_BL2	0d	1.431068699
Sample_BL3	0d	7.153078929
Sample_BL4	0d	9.39611422
Sample_BL5	0d	3.704058862
Sample_BL7	0d	0.182683614
Sample_BL8	0d	6.275346279
Sample_BL9	0d	4.801745692
Sample_BQ10	0d	1.90043392
Sample_BQ11	0d	8.240993932
Sample_BQ12	0d	5.662456711
Sample_BQ13	0d	3.548994221
Sample_BQ3	0d	7.916247557
Sample_BQ4	0d	0.940842684
Sample_BQ5	0d	3.956321405
Sample_BQ6	0d	9.566584663
Sample_BQ7	0d	5.196814847
Sample_BQ8	0d	6.59848113
Sample_BQ9	0d	11.79067078
Sample_CL1	7d	8.629135755
Sample_CL10	7d	6.207267177
Sample_CL2	7d	3.570971765
Sample_CL3	7d	5.42190571
Sample_CL4	7d	11.22216792
Sample_CL5	7d	5.486791837
Sample_CL7	7d	0.193501645
Sample_CL8	7d	5.002519992
Sample_CL9	7d	6.471651473
Sample_CQ10	7d	5.383624966
Sample_CQ11	7d	8.611278946
Sample_CQ12	7d	6.87754938
Sample_CQ13	7d	4.041116155
Sample_CQ3	7d	6.020876514
Sample_CQ4	7d	1.274821923
Sample_CQ5	7d	5.419698917
Sample_CQ6	7d	10.84638366
Sample_CQ7	7d	5.088709768
Sample_CQ8	7d	6.689558702
Sample_CQ9	7d	10.79603316
Sample_DL1	14d	8.453167806
Sample_DL10	14d	11.89836677
Sample_DL2	14d	3.560237484
Sample_DL3	14d	5.792564111
Sample_DL4	14d	8.781346331
Sample_DL5	14d	3.005444672
Sample_DL7	14d	0.509349335
Sample_DL8	14d	9.256496303
Sample_DL9	14d	6.149934766
Sample_DQ10	14d	5.598725407
Sample_DQ11	14d	5.97506331
Sample_DQ12	14d	7.44887642
Sample_DQ13	14d	4.667981992
Sample_DQ3	14d	8.490707554
Sample_DQ4	14d	2.012192075
Sample_DQ5	14d	4.425163008
Sample_DQ6	14d	4.309824629
Sample_DQ7	14d	8.102676562
Sample_DQ8	14d	5.926283489
Sample_DQ9	14d	9.817459384
Sample_EL1	21d	7.659554634
Sample_EL10	21d	7.884610113
Sample_EL2	21d	4.452544171
Sample_EL3	21d	5.406494908
Sample_EL4	21d	9.646924207
Sample_EL5	21d	8.324209723
Sample_EL7	21d	0.087156366
Sample_EL8	21d	8.258917974
Sample_EL9	21d	6.47079185
Sample_EQ10	21d	5.844647825
Sample_EQ11	21d	7.03261716
Sample_EQ12	21d	5.444942943
Sample_EQ13	21d	4.623175483
Sample_EQ3	21d	10.11957881
Sample_EQ4	21d	2.416343794
Sample_EQ5	21d	4.571482444
Sample_EQ6	21d	6.449619218
Sample_EQ7	21d	5.937402355
Sample_EQ8	21d	7.611276636
Sample_EQ9	21d	2.321929168
Sample_FL1	28d	7.464591388
Sample_FL10	28d	27.90117971
Sample_FL2	28d	3.638837861
Sample_FL3	28d	7.346729125
Sample_FL4	28d	8.3623878
Sample_FL5	28d	3.85266399
Sample_FL7	28d	0.412068732
Sample_FL8	28d	7.00579699
Sample_FL9	28d	6.756132839
Sample_FQ10	28d	5.850554536
Sample_FQ11	28d	5.89452904
Sample_FQ12	28d	6.614547593
Sample_FQ13	28d	4.206027844
Sample_FQ3	28d	5.70692866
Sample_FQ4	28d	1.901963033
Sample_FQ5	28d	4.948677178
Sample_FQ6	28d	7.257109815
Sample_FQ7	28d	7.190111848
Sample_FQ8	28d	5.020466625
Sample_FQ9	28d	2.865439722
